AttackNoise,DomainFetched,AttackCoverage,AttackRuntime (msec),AttackSpeed (domain per msec)
0.001051274593648177,5,0.020161290322580645,900,0.005555555555555556
0.0016021885193980845,5,0.020161290322580645,774,0.006459948320413436
0.0021141023384495528,5,0.020161290322580645,976,0.005122950819672131
0.0021293721070700933,5,0.020161290322580645,945,0.005291005291005291
0.002170117338425981,5,0.020161290322580645,1239,0.004035512510088781
0.002422441807025888,5,0.020161290322580645,784,0.006377551020408163
0.002461266028649156,5,0.020161290322580645,1200,0.004166666666666667
0.00322956964361365,5,0.020161290322580645,1280,0.00390625
0.0036984616929648384,5,0.020161290322580645,1023,0.004887585532746823
0.003704042529354412,5,0.020161290322580645,1118,0.004472271914132379
0.0038965522136853448,5,0.020161290322580645,555,0.009009009009009009
0.004153866723244248,5,0.020161290322580645,972,0.0051440329218107
0.0046664312156013965,5,0.020161290322580645,16,0.3125
0.004735350660003079,5,0.020161290322580645,733,0.0068212824010914054
0.004806518595178999,5,0.020161290322580645,863,0.005793742757821553
0.004941888250713844,5,0.020161290322580645,724,0.006906077348066298
0.006178192014483885,5,0.020161290322580645,1156,0.004325259515570935
0.007420111945308672,5,0.020161290322580645,901,0.005549389567147614
0.007934283790260177,5,0.020161290322580645,805,0.006211180124223602
0.00811093369869953,5,0.020161290322580645,13,0.38461538461538464
0.008423981432164385,5,0.020161290322580645,913,0.00547645125958379
0.009020080840589917,5,0.020161290322580645,746,0.006702412868632708
0.00950591944219159,5,0.020161290322580645,1077,0.004642525533890436
0.010090992067589566,5,0.020161290322580645,1511,0.0033090668431502318
0.010176871586275893,5,0.020161290322580645,1195,0.0041841004184100415
0.0106186004090838,5,0.020161290322580645,731,0.006839945280437756
0.011180940592429134,5,0.020161290322580645,667,0.0074962518740629685
0.011251160148148198,5,0.020161290322580645,988,0.005060728744939271
0.011998630784456177,5,0.020161290322580645,776,0.006443298969072165
0.01266792623641022,5,0.020161290322580645,956,0.005230125523012552
0.012714476364881211,5,0.020161290322580645,669,0.007473841554559043
0.01360933241847162,5,0.020161290322580645,23,0.21739130434782608
0.014332006014905474,5,0.020161290322580645,886,0.0056433408577878106
0.014432321611521637,5,0.020161290322580645,879,0.005688282138794084
0.014925975679698666,5,0.020161290322580645,289,0.01730103806228374
0.015107160733110137,5,0.020161290322580645,646,0.007739938080495356
0.01516406964221595,5,0.020161290322580645,1169,0.00427715996578272
0.015249355747024906,9,0.036290322580645164,811,0.011097410604192354
0.015518195098141785,5,0.020161290322580645,1009,0.004955401387512388
0.01766862473590436,5,0.020161290322580645,1170,0.004273504273504274
0.01812824709746752,5,0.020161290322580645,966,0.005175983436853002
0.018283009565604358,5,0.020161290322580645,796,0.00628140703517588
0.018334029729534795,5,0.020161290322580645,673,0.007429420505200594
0.01964147342633782,5,0.020161290322580645,953,0.005246589716684155
0.019932986762651095,7,0.028225806451612902,758,0.009234828496042216
0.020791285255781,5,0.020161290322580645,234,0.021367521367521368
0.02081222775583913,5,0.020161290322580645,629,0.00794912559618442
0.021124231774768187,5,0.020161290322580645,947,0.005279831045406547
0.02128475264431806,5,0.020161290322580645,583,0.008576329331046312
0.02142025106450307,5,0.020161290322580645,779,0.006418485237483954
0.02354490757576455,8,0.03225806451612903,1158,0.0069084628670120895
0.023647324366789402,7,0.028225806451612902,1294,0.005409582689335394
0.02381234253558251,5,0.020161290322580645,726,0.006887052341597796
0.023868242493962688,5,0.020161290322580645,1198,0.004173622704507512
0.02430159302760526,6,0.024193548387096774,680,0.008823529411764706
0.02459278563023448,5,0.020161290322580645,1043,0.004793863854266539
0.025086731289399755,5,0.020161290322580645,52,0.09615384615384616
0.02510822218717934,5,0.020161290322580645,1106,0.0045207956600361665
0.025162906352065084,5,0.020161290322580645,1157,0.00432152117545376
0.026063369292441463,5,0.020161290322580645,517,0.009671179883945842
0.02619073856903431,5,0.020161290322580645,610,0.00819672131147541
0.026908433024739442,5,0.020161290322580645,864,0.005787037037037037
0.027392970521167737,14,0.056451612903225805,894,0.015659955257270694
0.027916057424465013,5,0.020161290322580645,1060,0.0047169811320754715
0.028139716267647663,5,0.020161290322580645,267,0.018726591760299626
0.02915614161921065,5,0.020161290322580645,871,0.0057405281285878304
0.029510534894063523,5,0.020161290322580645,946,0.005285412262156448
0.029879908859799298,5,0.020161290322580645,727,0.0068775790921595595
0.030203125346314863,7,0.028225806451612902,709,0.009873060648801129
0.03029556744426043,5,0.020161290322580645,691,0.00723589001447178
0.030666923981310323,5,0.020161290322580645,619,0.008077544426494346
0.03130746879541502,5,0.020161290322580645,1112,0.0044964028776978415
0.03130871166565241,5,0.020161290322580645,1049,0.004766444232602479
0.03142009861616324,5,0.020161290322580645,1177,0.004248088360237893
0.03155333255427317,5,0.020161290322580645,1136,0.0044014084507042256
0.03351485725547587,5,0.020161290322580645,920,0.005434782608695652
0.03575447136261101,9,0.036290322580645164,929,0.00968783638320775
0.0359153897823995,5,0.020161290322580645,1245,0.004016064257028112
0.036149888855174006,5,0.020161290322580645,1142,0.0043782837127845885
0.03774060387271683,5,0.020161290322580645,1076,0.004646840148698885
0.03948985406191652,5,0.020161290322580645,880,0.005681818181818182
0.03975982922181798,5,0.020161290322580645,1278,0.003912363067292645
0.04010391612028541,5,0.020161290322580645,442,0.011312217194570135
0.04011812753928545,5,0.020161290322580645,823,0.006075334143377886
0.041113170773865004,5,0.020161290322580645,239,0.02092050209205021
0.041700156302590385,5,0.020161290322580645,860,0.005813953488372093
0.0419869603570332,5,0.020161290322580645,728,0.006868131868131868
