AttackNoise,DomainFetched,AttackCoverage,AttackRuntime (msec),AttackSpeed (domain per msec)
8.605127368999099E-5,5,0.020161290322580645,854,0.00585480093676815
3.4419357197712497E-4,5,0.020161290322580645,680,0.007352941176470588
9.764807130533404E-4,5,0.020161290322580645,398,0.01256281407035176
0.001356258526498566,5,0.020161290322580645,815,0.006134969325153374
0.001680006826416669,5,0.020161290322580645,1083,0.0046168051708217915
0.0024121218107072684,5,0.020161290322580645,871,0.0057405281285878304
0.0024699894471832406,5,0.020161290322580645,1383,0.0036153289949385392
0.0027575002611325283,5,0.020161290322580645,779,0.006418485237483954
0.002795400621589894,5,0.020161290322580645,1051,0.004757373929590866
0.0028891033689392165,5,0.020161290322580645,729,0.006858710562414266
0.0038817202114064253,5,0.020161290322580645,970,0.005154639175257732
0.003910780199493646,5,0.020161290322580645,943,0.005302226935312832
0.004547443251981198,5,0.020161290322580645,601,0.008319467554076539
0.004867909031473827,5,0.020161290322580645,489,0.010224948875255624
0.005454589497290385,5,0.020161290322580645,1515,0.0033003300330033004
0.005619092484326238,5,0.020161290322580645,1073,0.004659832246039142
0.006160790922448589,5,0.020161290322580645,168,0.02976190476190476
0.006560884181507354,5,0.020161290322580645,727,0.0068775790921595595
0.006918264583764988,5,0.020161290322580645,42,0.11904761904761904
0.007365758151937185,5,0.020161290322580645,591,0.008460236886632826
0.007583121035627971,5,0.020161290322580645,1247,0.00400962309542903
0.007650483388235596,5,0.020161290322580645,739,0.006765899864682003
0.007772401421731301,5,0.020161290322580645,312,0.016025641025641024
0.007989051091861654,5,0.020161290322580645,822,0.006082725060827251
0.008414797537133256,5,0.020161290322580645,773,0.00646830530401035
0.008555657871287425,5,0.020161290322580645,1360,0.003676470588235294
0.009416059772578977,5,0.020161290322580645,1308,0.00382262996941896
0.010239493457368853,5,0.020161290322580645,654,0.00764525993883792
0.010447991649046418,5,0.020161290322580645,616,0.008116883116883116
0.01108551847972461,5,0.020161290322580645,833,0.006002400960384154
0.0128067005179745,5,0.020161290322580645,927,0.005393743257820928
0.012951073002102742,5,0.020161290322580645,1283,0.003897116134060795
0.013033388978862859,5,0.020161290322580645,1039,0.004812319538017324
0.013123023125887756,5,0.020161290322580645,80,0.0625
0.013363657114085936,5,0.020161290322580645,979,0.005107252298263534
0.013818742806112061,5,0.020161290322580645,556,0.008992805755395683
0.01390033365481691,5,0.020161290322580645,987,0.005065856129685917
0.014352119575901656,5,0.020161290322580645,969,0.005159958720330237
0.016093605277038292,5,0.020161290322580645,746,0.006702412868632708
0.016241660784933498,5,0.020161290322580645,1084,0.004612546125461255
0.016641591283774626,5,0.020161290322580645,467,0.010706638115631691
0.017313126465914763,5,0.020161290322580645,944,0.005296610169491525
0.017330681384202573,5,0.020161290322580645,654,0.00764525993883792
0.017523738352122398,5,0.020161290322580645,669,0.007473841554559043
0.017614168222106152,6,0.024193548387096774,652,0.009202453987730062
0.018182031856925907,6,0.024193548387096774,908,0.006607929515418502
0.018465032359889055,5,0.020161290322580645,855,0.005847953216374269
0.018601821756453973,5,0.020161290322580645,602,0.008305647840531562
0.018973551046764126,5,0.020161290322580645,1061,0.00471253534401508
0.01927950951556212,5,0.020161290322580645,715,0.006993006993006993
0.020370057137864772,9,0.036290322580645164,1072,0.008395522388059701
0.020398762138518767,5,0.020161290322580645,613,0.008156606851549755
0.020902703045000193,5,0.020161290322580645,760,0.006578947368421052
0.021603228188226464,5,0.020161290322580645,942,0.005307855626326964
0.021956301315923854,5,0.020161290322580645,978,0.005112474437627812
0.02250791999946411,9,0.036290322580645164,915,0.009836065573770493
0.02281468598480907,5,0.020161290322580645,781,0.006402048655569782
0.02297149308240032,5,0.020161290322580645,1011,0.004945598417408506
0.024568293765266702,5,0.020161290322580645,706,0.007082152974504249
0.024639523143891506,5,0.020161290322580645,810,0.006172839506172839
0.024743156635172125,5,0.020161290322580645,1612,0.003101736972704715
0.024989776727203816,5,0.020161290322580645,910,0.005494505494505495
0.025493436259033442,5,0.020161290322580645,1126,0.004440497335701598
0.026568307567165106,5,0.020161290322580645,792,0.006313131313131313
0.026624655550303244,5,0.020161290322580645,1242,0.004025764895330112
0.02749434582603194,5,0.020161290322580645,838,0.0059665871121718375
0.027722441153419375,5,0.020161290322580645,54,0.09259259259259259
0.027981778751847597,5,0.020161290322580645,710,0.007042253521126761
0.028422489350937163,5,0.020161290322580645,1524,0.0032808398950131233
0.029282442940142372,5,0.020161290322580645,868,0.00576036866359447
0.030028489924912694,5,0.020161290322580645,690,0.007246376811594203
0.030233972028958167,6,0.024193548387096774,830,0.007228915662650603
0.030249010970248902,5,0.020161290322580645,1302,0.0038402457757296467
0.030566978832061942,5,0.020161290322580645,706,0.007082152974504249
0.031391924627301004,5,0.020161290322580645,1207,0.004142502071251036
0.03144185177161696,5,0.020161290322580645,950,0.005263157894736842
0.03167867478433373,5,0.020161290322580645,17,0.29411764705882354
0.03180919914400682,5,0.020161290322580645,872,0.005733944954128441
0.03216750527987311,5,0.020161290322580645,1390,0.0035971223021582736
0.032297930222957905,5,0.020161290322580645,1435,0.003484320557491289
0.032332153284276854,5,0.020161290322580645,839,0.0059594755661501785
0.03267451594570381,5,0.020161290322580645,1072,0.0046641791044776115
0.03269848300550704,5,0.020161290322580645,1215,0.00411522633744856
0.03281728933996286,5,0.020161290322580645,648,0.007716049382716049
0.032833422745741414,5,0.020161290322580645,1023,0.004887585532746823
0.03318090220488834,5,0.020161290322580645,879,0.005688282138794084
0.03347773078023797,5,0.020161290322580645,907,0.005512679162072767
