TotalSuspiciousRecords,DomainFetched,AttackCoverage,AttackRuntime (msec),AttackSpeed (domain per msec)
6,3,0.012096774193548387,3,1.0
6,4,0.016129032258064516,3,1.3333333333333333
6,28,0.11290322580645161,39,0.717948717948718
6,3,0.012096774193548387,4,0.75
6,3,0.012096774193548387,3,1.0
6,7,0.028225806451612902,5,1.4
6,12,0.04838709677419355,9,1.3333333333333333
6,20,0.08064516129032258,30,0.6666666666666666
7,15,0.06048387096774194,14,1.0714285714285714
7,10,0.04032258064516129,6,1.6666666666666667
7,33,0.13306451612903225,15,2.2
7,7,0.028225806451612902,10,0.7
7,7,0.028225806451612902,6,1.1666666666666667
7,13,0.05241935483870968,17,0.7647058823529411
7,8,0.03225806451612903,5,1.6
7,40,0.16129032258064516,51,0.7843137254901961
7,39,0.15725806451612903,42,0.9285714285714286
7,31,0.125,16,1.9375
7,17,0.06854838709677419,15,1.1333333333333333
7,9,0.036290322580645164,14,0.6428571428571429
7,6,0.024193548387096774,6,1.0
7,15,0.06048387096774194,11,1.3636363636363635
7,15,0.06048387096774194,8,1.875
7,3,0.012096774193548387,5,0.6
7,4,0.016129032258064516,3,1.3333333333333333
7,13,0.05241935483870968,17,0.7647058823529411
7,46,0.18548387096774194,46,1.0
7,5,0.020161290322580645,8,0.625
7,28,0.11290322580645161,39,0.717948717948718
7,5,0.020161290322580645,5,1.0
7,12,0.04838709677419355,17,0.7058823529411765
7,5,0.020161290322580645,7,0.7142857142857143
7,10,0.04032258064516129,11,0.9090909090909091
7,15,0.06048387096774194,22,0.6818181818181818
7,5,0.020161290322580645,3,1.6666666666666667
7,9,0.036290322580645164,6,1.5
7,17,0.06854838709677419,15,1.1333333333333333
7,14,0.056451612903225805,6,2.3333333333333335
7,9,0.036290322580645164,8,1.125
7,27,0.10887096774193548,27,1.0
7,3,0.012096774193548387,5,0.6
7,33,0.13306451612903225,21,1.5714285714285714
7,3,0.012096774193548387,4,0.75
7,26,0.10483870967741936,24,1.0833333333333333
7,30,0.12096774193548387,41,0.7317073170731707
7,5,0.020161290322580645,4,1.25
7,5,0.020161290322580645,6,0.8333333333333334
7,27,0.10887096774193548,40,0.675
7,3,0.012096774193548387,4,0.75
7,27,0.10887096774193548,39,0.6923076923076923
7,8,0.03225806451612903,11,0.7272727272727273
7,21,0.0846774193548387,29,0.7241379310344828
7,16,0.06451612903225806,12,1.3333333333333333
7,12,0.04838709677419355,12,1.0
7,32,0.12903225806451613,16,2.0
7,25,0.10080645161290322,34,0.7352941176470589
7,40,0.16129032258064516,20,2.0
7,5,0.020161290322580645,8,0.625
7,52,0.20967741935483872,22,2.3636363636363638
7,26,0.10483870967741936,12,2.1666666666666665
7,8,0.03225806451612903,5,1.6
7,10,0.04032258064516129,6,1.6666666666666667
8,28,0.11290322580645161,24,1.1666666666666667
8,13,0.05241935483870968,11,1.1818181818181819
8,17,0.06854838709677419,26,0.6538461538461539
8,29,0.11693548387096774,38,0.7631578947368421
8,20,0.08064516129032258,30,0.6666666666666666
8,14,0.056451612903225805,20,0.7
8,22,0.08870967741935484,28,0.7857142857142857
8,14,0.056451612903225805,22,0.6363636363636364
8,5,0.020161290322580645,8,0.625
8,7,0.028225806451612902,6,1.1666666666666667
8,7,0.028225806451612902,10,0.7
8,20,0.08064516129032258,15,1.3333333333333333
8,14,0.056451612903225805,19,0.7368421052631579
8,6,0.024193548387096774,4,1.5
8,4,0.016129032258064516,3,1.3333333333333333
8,47,0.18951612903225806,57,0.8245614035087719
8,11,0.04435483870967742,7,1.5714285714285714
8,16,0.06451612903225806,21,0.7619047619047619
8,7,0.028225806451612902,7,1.0
8,19,0.07661290322580645,28,0.6785714285714286
8,40,0.16129032258064516,25,1.6
8,4,0.016129032258064516,3,1.3333333333333333
8,23,0.09274193548387097,30,0.7666666666666667
8,18,0.07258064516129033,13,1.3846153846153846
8,4,0.016129032258064516,2,2.0
8,7,0.028225806451612902,11,0.6363636363636364
8,25,0.10080645161290322,36,0.6944444444444444
8,22,0.08870967741935484,12,1.8333333333333333
8,34,0.13709677419354838,37,0.918918918918919
8,14,0.056451612903225805,18,0.7777777777777778
8,4,0.016129032258064516,3,1.3333333333333333
8,24,0.0967741935483871,14,1.7142857142857142
8,4,0.016129032258064516,3,1.3333333333333333
8,8,0.03225806451612903,7,1.1428571428571428
8,17,0.06854838709677419,10,1.7
8,17,0.06854838709677419,18,0.9444444444444444
8,11,0.04435483870967742,7,1.5714285714285714
8,9,0.036290322580645164,5,1.8
8,4,0.016129032258064516,2,2.0
8,4,0.016129032258064516,5,0.8
8,20,0.08064516129032258,28,0.7142857142857143
8,28,0.11290322580645161,19,1.4736842105263157
8,33,0.13306451612903225,47,0.7021276595744681
8,8,0.03225806451612903,12,0.6666666666666666
8,19,0.07661290322580645,9,2.111111111111111
8,21,0.0846774193548387,31,0.6774193548387096
8,11,0.04435483870967742,16,0.6875
8,6,0.024193548387096774,5,1.2
8,5,0.020161290322580645,4,1.25
8,8,0.03225806451612903,13,0.6153846153846154
8,17,0.06854838709677419,25,0.68
8,4,0.016129032258064516,3,1.3333333333333333
8,6,0.024193548387096774,5,1.2
8,4,0.016129032258064516,2,2.0
8,30,0.12096774193548387,19,1.5789473684210527
8,4,0.016129032258064516,3,1.3333333333333333
8,6,0.024193548387096774,9,0.6666666666666666
8,19,0.07661290322580645,25,0.76
9,6,0.024193548387096774,8,0.75
9,29,0.11693548387096774,26,1.1153846153846154
9,18,0.07258064516129033,23,0.782608695652174
9,63,0.2540322580645161,74,0.8513513513513513
9,26,0.10483870967741936,12,2.1666666666666665
9,10,0.04032258064516129,7,1.4285714285714286
9,14,0.056451612903225805,9,1.5555555555555556
9,8,0.03225806451612903,7,1.1428571428571428
9,42,0.1693548387096774,40,1.05
9,96,0.3870967741935484,41,2.341463414634146
9,13,0.05241935483870968,6,2.1666666666666665
9,41,0.16532258064516128,47,0.8723404255319149
9,35,0.14112903225806453,32,1.09375
9,7,0.028225806451612902,6,1.1666666666666667
9,34,0.13709677419354838,41,0.8292682926829268
9,6,0.024193548387096774,4,1.5
9,12,0.04838709677419355,5,2.4
9,18,0.07258064516129033,12,1.5
9,65,0.2620967741935484,44,1.4772727272727273
9,106,0.4274193548387097,70,1.5142857142857142
9,29,0.11693548387096774,20,1.45
9,20,0.08064516129032258,10,2.0
9,5,0.020161290322580645,2,2.5
9,96,0.3870967741935484,70,1.3714285714285714
9,56,0.22580645161290322,46,1.2173913043478262
9,90,0.3629032258064516,41,2.1951219512195124
9,81,0.32661290322580644,78,1.0384615384615385
9,19,0.07661290322580645,29,0.6551724137931034
9,7,0.028225806451612902,7,1.0
9,47,0.18951612903225806,25,1.88
9,68,0.27419354838709675,73,0.9315068493150684
9,15,0.06048387096774194,19,0.7894736842105263
9,29,0.11693548387096774,17,1.7058823529411764
9,13,0.05241935483870968,9,1.4444444444444444
9,95,0.38306451612903225,78,1.2179487179487178
9,24,0.0967741935483871,35,0.6857142857142857
9,19,0.07661290322580645,12,1.5833333333333333
9,115,0.4637096774193548,106,1.0849056603773586
9,7,0.028225806451612902,9,0.7777777777777778
9,6,0.024193548387096774,9,0.6666666666666666
9,34,0.13709677419354838,14,2.4285714285714284
9,4,0.016129032258064516,5,0.8
10,14,0.056451612903225805,19,0.7368421052631579
10,5,0.020161290322580645,6,0.8333333333333334
10,15,0.06048387096774194,21,0.7142857142857143
10,11,0.04435483870967742,15,0.7333333333333333
10,13,0.05241935483870968,18,0.7222222222222222
10,5,0.020161290322580645,4,1.25
10,6,0.024193548387096774,9,0.6666666666666666
10,9,0.036290322580645164,12,0.75
10,35,0.14112903225806453,21,1.6666666666666667
10,15,0.06048387096774194,22,0.6818181818181818
10,96,0.3870967741935484,46,2.0869565217391304
10,29,0.11693548387096774,15,1.9333333333333333
